householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,numbUrban,medIncome,pctWPubAsst,PctPopUnderPov,PctLess9thGrade,PctUnemployed,NumImmig,HousVacant,NumInShelters,NumStreet,PopDens,burglPerPop
3.1,1.37,91.78,6.5,1.88,11980,75122,1.03,1.96,5.81,2.7,1277,64,11,0,1845.9,114.85
2.82,0.8,95.57,3.44,0.85,23123,47917,2.75,3.98,5.61,2.43,1920,240,0,0,2186.7,242.37
2.43,0.74,94.33,3.43,2.35,29344,35669,2.94,4.75,2.8,4.01,1468,544,16,0,2780.9,758.14
2.4,1.7,97.35,0.5,0.7,0,20580,11.71,17.23,11.05,9.86,339,669,0,0,3217.7,1301.78
2.76,0.53,89.16,1.17,0.52,0,17390,11.21,29.99,12.15,9.08,196,333,2,0,974.2,728.93
2.45,2.51,95.65,0.9,0.95,140494,21577,7.12,17.78,8.76,5.72,2091,5119,327,4,1995.7,1386.46
2.6,1.6,96.57,1.47,1.1,28700,42805,5.41,4.01,4.49,4.85,2637,566,0,0,2643.5,372.09
2.45,14.2,84.87,0.4,0.63,59449,23221,8.81,17.98,10.09,8.19,517,2051,21,0,1515.3,997.6
2.46,0.35,97.11,1.25,0.73,74115,25326,4.21,13.68,5.52,4.18,1474,1562,125,15,2399.3,532.66
2.62,23.14,67.6,0.92,16.35,103590,17852,9.06,28.68,13.01,8.39,4793,5606,43,4,1319.3,2221.81
2.54,12.63,83.22,0.77,4.39,31596,24763,7.02,15.61,9.07,7.19,938,1807,1,0,816.1,1456.49
2.89,21.34,49.42,17.21,26.78,25158,25479,23.63,19.02,14.03,10.16,6645,714,20,49,9387.3,1769.39
2.54,12.18,86.39,1.12,0.68,0,20043,9.6,23.91,15.28,6.93,626,1528,28,2,1354.2,1269.58
2.74,53.52,45.65,0.49,0.43,57140,19143,13.58,27.71,14.49,11.05,407,2318,28,0,1301.5,2987.92
2.53,0.06,99.21,0.47,0.59,0,25797,6.6,6.84,16.28,3.67,119,180,0,0,1481.2,489.98
2.69,2.52,94.39,2.03,1.55,30954,37856,4.87,6.22,4.4,4.17,812,624,0,0,1724.8,667.12
2.85,2.65,95.72,1.04,2.28,43944,44635,3.78,2.89,6.55,4.01,2377,629,8,1,1314.3,618.62
2.62,1.3,74.02,14.14,20.96,180038,34372,11.27,14.37,11.54,6.95,81352,3510,82,17,5677.3,889.74
2.67,2.28,94.74,2.67,0.74,14882,49851,1.59,2.35,1.33,2.57,704,164,10,0,2552.7,655.15
2.6,8.41,82.64,3.92,8.91,261763,35048,2.71,8.21,3.71,4.99,20006,12116,47,1,2716.3,1360.48
2.77,1.61,95.66,2.04,1.02,50889,51314,2.41,3.36,1.57,3.24,1330,1255,0,0,1491.7,446.39
2.6,28.71,52.26,7,24.36,7322564,29823,13.12,19.29,14.1,8.98,2082931,172768,23383,10447,22878.2,1355.37
3.34,18.97,53.6,20.84,10.73,26436,29043,6.9,9.67,5.8,3.5,4849,353,0,0,2917.9,1457.12
2.36,0.41,97.55,1.55,0.91,0,32221,3.37,6.07,5.83,3.14,376,545,2,0,291.4,516.25
2.63,13.79,83.94,1.42,2.4,16023,34934,2.74,5.75,4.07,5.39,742,437,0,0,1581.4,1254.65
2.54,0.06,97.72,0.77,1.86,0,26198,3.92,8.72,8.18,3.31,354,586,0,0,1073.9,755.34
2.35,0.41,94.65,1.98,7.95,13842,45892,0.73,3.33,2.73,2.69,703,319,0,0,3697.1,997.06
2.7,2.92,87.36,2.82,13.97,88693,28108,12.74,12.92,6.71,7.07,8610,1560,13,76,5943,1469.01
2.6,1.89,82.45,1.82,18.16,0,23258,10.28,15.28,12.99,6.5,695,321,0,0,1189.1,1581.06
2.86,42.15,56.94,0.52,0.5,28259,22052,13.69,22.94,15.88,8.34,187,626,13,0,1900.7,707.01
2.8,26.96,72.26,0.4,0.78,0,14874,18.81,38.27,23.94,13.93,25,410,0,0,2323.5,1852.66
3.84,0.12,70.83,0.38,93.87,122899,18395,16.71,37.29,36.26,11.24,29945,1969,4,0,3608.7,1126.13
2.36,1.46,93.15,0.56,11.61,0,22166,7.08,13.5,12.54,8.97,1250,713,2,0,3353.7,639.11
3.03,0.37,98.84,0.4,0.45,3929,36618,4.56,4.05,3.9,5.73,306,134,0,0,225.9,284.28
2.67,1.17,94.31,0.96,7.46,0,34372,5.74,8.87,5.6,5.13,327,929,5,0,998.4,1048.59
2.71,0.24,88.57,1.11,17.04,0,27230,13.22,12.63,12.32,10.34,976,185,11,0,2853.3,1163.8
2.6,52.88,46.59,0.19,0.54,0,18499,13.17,24.07,21.8,7.91,181,429,0,0,2134,3848.28
4.17,7.95,82.42,1.36,19.55,23302,51594,5.92,5.34,4.93,5.1,1672,193,0,0,1641.4,1126.73
2.95,59.63,39.76,0.43,0.56,0,18060,18.48,31.96,18.51,12.45,250,1170,6,0,1672.6,3921.35
2.37,0.94,91.3,6.07,6.46,26167,54658,2.52,2.73,2.43,2.43,3283,294,0,0,4486.8,542.25
2.76,4.8,78.81,1.14,27.99,84474,23534,6.25,18.5,14.84,7.71,4542,3958,240,1,1702.6,931.46
2.49,5.26,94.08,0.29,0.33,27623,21688,12.39,16.93,8.47,8.67,398,649,0,0,3513.5,738.19
2.87,42.2,51.25,1.36,8.01,71166,21962,22.07,26.67,12.04,14.4,1641,1816,132,3,3434.7,2109.86
2.82,44.58,54.68,0.38,0.61,39076,26125,10.49,17.28,17.59,7.06,433,1495,0,10,125.8,1164.49
2.36,36.84,62.7,0.2,0.37,0,22446,8.64,15.61,18.52,5.68,142,471,17,3,1423.7,1026.48
2.66,0.63,97.81,0.83,2.58,66473,38742,3.6,3.74,5.59,5.55,3133,3878,17,0,2441,606.2
2.09,0.7,95.77,1.74,6.86,23170,53419,2.75,6.14,2.39,1.84,2587,1759,6,50,2575.6,1713.6
3.59,1.85,62.03,0.19,91.07,0,16180,24.32,37.04,42.31,12.26,644,554,0,0,1345.2,2230.1
2.64,2.72,93.52,1.49,3.5,63891,31103,4.69,7.07,6.7,5.13,2230,888,0,0,2539,970.18
2.86,0.31,98.63,0.64,0.49,0,36091,3.41,5,7.84,5.18,158,144,0,0,1641.9,726.17
2.49,0.09,99.39,0.18,0.51,0,19985,8.77,18.82,20.78,7.01,49,472,7,0,616.9,622.47
2.2,1.7,91.28,5.46,5.4,31971,54348,3.47,6.6,3.6,3.8,11133,1159,0,5,5437.2,1417.63
2.87,16.34,81.75,1.53,1,14790,43376,2.47,2.9,3.26,4.65,1522,135,0,0,7812.2,432.99
2.59,4.22,94.72,0.45,0.85,0,22439,12.41,16.85,9.68,10.98,256,1064,4,0,4102.3,1688.58
2.54,19.7,76.96,1.05,3.97,332943,24819,12.29,19.09,8.57,9.92,9263,11242,260,12,3988.5,1698.29
2.63,39.86,53.52,2.74,5.63,1585577,24603,13.98,20.27,11.29,9.62,104814,71824,3416,1069,11326,988.14
