gender,educ,job,salary,jobtime,prevexp
female,12,employee,21450,98,381
female,8,employee,21900,98,190
female,12,employee,21900,98,0
female,15,employee,27900,98,115
female,12,employee,24000,98,244
female,16,employee,30300,98,143
female,15,employee,35100,98,137
female,12,employee,26250,97,48
female,16,employee,38850,97,17
female,15,employee,24000,97,75
female,12,employee,16950,97,124
female,15,employee,21150,97,171
female,8,employee,31350,96,52
female,15,employee,19200,96,23
female,12,employee,23550,96,52
female,15,employee,22350,95,165
female,12,employee,30000,95,228
female,15,employee,26400,94,3
female,16,employee,54000,93,11
female,12,employee,26400,93,0
female,15,employee,33900,93,192
female,15,employee,24150,93,0
female,15,employee,29250,93,11
female,12,employee,27600,93,6
female,12,employee,22950,93,10
female,16,employee,34800,93,8
female,16,employee,51000,93,22
female,12,employee,24300,93,5
female,12,employee,24750,93,193
female,12,employee,22950,93,0
female,8,employee,25050,93,8
female,8,employee,16200,92,0
female,12,employee,20100,92,24
female,8,employee,24000,92,6
female,12,employee,25950,92,0
female,12,employee,24600,92,44
female,12,employee,28500,92,6
female,12,employee,22050,92,5
female,12,employee,25200,91,83
female,12,employee,21000,91,108
female,12,employee,31500,90,205
female,12,employee,31650,90,48
female,12,employee,25200,90,55
female,15,employee,18750,90,54
female,15,employee,32550,90,22
female,12,employee,33300,90,3
female,16,employee,38550,90,0
female,12,employee,19650,90,229
female,12,employee,26250,89,0
female,8,employee,20100,88,90
female,12,employee,22350,88,26
female,15,employee,35550,88,32
female,12,employee,28500,88,34
female,12,employee,24450,88,107
female,8,employee,16650,88,412
female,15,employee,26550,88,61
female,12,employee,26700,87,18
female,12,employee,20850,87,163
female,12,employee,26550,87,11
female,12,employee,27750,87,11
female,16,employee,25050,87,123
female,15,employee,29400,86,24
female,15,employee,33300,86,24
female,12,employee,21900,86,156
female,12,employee,18150,86,72
female,15,employee,29850,86,79
female,16,employee,35700,85,19
female,12,employee,28500,85,69
female,12,employee,17100,85,72
female,12,employee,24000,85,59
female,12,employee,27450,85,101
female,12,employee,18450,85,228
female,12,employee,34500,84,208
female,12,employee,36000,84,240
female,8,employee,29100,84,35
female,12,employee,16500,84,288
female,12,employee,24750,84,41
female,15,employee,27150,84,231
female,12,employee,26400,84,36
female,16,employee,23100,84,214
female,12,employee,24000,83,16
female,8,employee,19800,83,75
female,12,employee,20400,83,9
female,12,employee,19200,83,7
female,12,employee,24000,82,97
female,15,employee,27750,82,265
female,8,employee,22350,82,48
female,12,employee,16200,82,0
female,15,employee,21900,82,0
female,16,employee,23250,82,4
female,12,employee,33900,82,11
female,15,employee,25650,82,51
female,12,employee,17250,82,358
female,8,employee,27450,81,9
female,12,employee,22650,81,0
female,12,employee,27300,81,5
female,12,employee,27750,81,5
female,8,employee,17400,81,390
female,12,employee,40800,81,4
female,12,employee,23100,81,0
female,8,employee,22500,81,5
female,12,employee,26700,81,18
female,12,employee,24900,81,0
female,12,employee,19650,81,11
female,12,employee,22050,81,9
female,12,employee,25500,81,11
female,15,employee,28200,81,19
female,12,employee,23100,81,13
female,8,employee,17100,81,0
female,12,employee,19650,80,5
female,12,employee,22350,80,5
female,12,employee,23400,80,18
female,12,employee,24300,80,8
female,12,employee,28500,80,4
female,12,employee,19950,80,8
female,12,employee,23400,80,0
female,16,employee,34500,80,3
female,12,employee,18150,80,0
female,8,employee,20850,79,70
female,12,employee,24450,79,8
female,12,employee,24750,79,5
female,12,employee,23400,78,209
female,12,employee,24600,78,47
female,15,employee,32550,78,6
female,15,employee,25800,78,51
female,12,employee,22500,77,63
female,12,employee,25650,77,64
female,12,employee,21300,77,0
female,12,employee,29850,77,38
female,12,employee,34500,77,4
female,12,employee,22050,76,6
female,12,employee,22500,76,90
female,15,employee,25500,76,7
female,12,employee,29160,76,22
female,8,employee,16800,76,76
female,12,employee,24450,75,144
female,16,employee,33000,75,26
female,15,employee,37050,75,5
female,12,employee,24450,75,32
female,12,employee,26100,74,2
female,8,employee,15900,74,43
female,8,employee,23700,74,281
female,8,employee,21750,74,318
female,12,employee,24450,74,117
female,12,employee,22200,73,7
female,15,employee,22950,73,22
female,12,employee,23100,73,228
female,17,employee,29100,73,375
female,12,employee,37650,73,132
female,12,employee,27900,73,32
female,8,employee,21150,73,159
female,12,employee,20550,73,154
female,8,employee,17700,72,184
female,15,employee,23550,72,49
female,12,employee,19950,72,56
female,12,employee,29400,72,30
female,12,employee,28800,72,18
female,8,employee,16950,72,319
female,12,employee,17400,72,116
female,8,employee,21450,72,194
female,12,employee,24750,72,68
female,12,employee,16950,72,271
female,12,employee,26100,72,169
female,16,employee,36600,71,12
female,8,employee,15750,70,275
female,8,employee,19650,70,102
female,12,employee,21000,70,82
female,12,employee,20850,70,127
female,15,employee,24150,69,7
female,12,employee,24450,69,12
female,12,employee,21600,69,0
female,12,employee,27900,69,0
female,8,employee,29100,69,17
female,12,employee,22650,69,2
female,12,employee,20850,69,0
female,12,employee,22950,69,5
female,12,employee,30600,69,5
female,12,employee,20400,69,0
female,12,employee,23850,69,20
female,12,employee,22800,69,0
female,12,employee,20700,69,2
female,12,employee,21300,69,3
female,12,employee,24300,69,121
female,12,employee,19650,69,133
female,8,employee,25200,68,344
female,12,employee,16200,68,180
female,12,employee,22800,68,2
female,12,employee,22200,67,196
female,15,employee,31350,67,47
female,12,employee,20850,67,181
female,12,employee,20400,66,0
female,8,employee,24150,66,96
female,15,employee,23850,66,122
female,12,employee,29700,66,26
female,8,employee,21600,66,228
female,12,employee,24450,66,87
female,12,employee,16350,66,163
female,12,employee,21750,65,0
female,12,employee,22500,65,24
female,8,employee,21600,65,173
female,15,employee,20700,65,241
female,12,employee,23400,64,198
female,16,employee,32850,64,20
female,15,employee,25200,64,57
female,12,employee,21450,63,139
female,12,employee,29400,63,9
male,16,employee,40200,98,36
male,15,employee,45000,98,138
male,15,employee,32100,98,67
male,15,employee,36000,98,114
male,8,employee,28350,98,26
male,15,employee,27750,98,34
male,12,employee,27300,97,66
male,12,employee,40800,97,24
male,15,employee,46000,97,48
male,12,employee,42300,97,103
male,12,employee,21750,97,315
male,15,employee,31050,96,14
male,15,employee,32550,96,43
male,15,employee,31200,96,54
male,12,employee,36150,96,83
male,15,employee,42000,96,68
male,12,employee,29100,96,113
male,15,employee,31350,96,49
male,16,employee,36000,96,46
male,15,employee,35100,95,90
male,12,employee,23250,95,46
male,8,employee,29250,95,50
male,15,employee,34800,94,93
male,12,employee,35550,94,48
male,15,employee,45150,94,40
male,12,employee,25050,94,444
male,12,employee,27000,94,120
male,15,employee,26850,94,5
male,15,employee,33900,94,78
male,15,employee,28050,94,36
male,12,employee,30900,94,102
male,8,employee,22500,94,36
male,8,employee,21900,93,41
male,15,employee,41100,93,27
male,15,employee,25950,92,42
male,15,employee,31650,92,64
male,12,employee,24150,92,130
male,17,employee,40200,92,168
male,14,employee,39900,91,59
male,15,employee,27450,91,48
male,15,employee,31650,91,18
male,12,employee,30450,91,49
male,15,employee,28350,91,151
male,14,employee,37800,90,60
male,15,employee,33450,90,85
male,15,employee,30300,90,16
male,12,employee,27450,90,173
male,15,employee,31500,89,22
male,12,employee,27300,89,175
male,15,employee,27000,89,87
male,12,employee,22200,88,324
male,12,employee,30900,88,252
male,12,employee,26700,88,38
male,18,employee,43950,88,182
male,15,employee,23700,88,359
male,12,employee,27600,87,75
male,12,employee,25800,87,143
male,15,employee,35250,87,54
male,15,employee,26700,87,56
male,16,employee,52650,86,20
male,15,employee,30900,86,25
male,12,employee,25500,86,37
male,12,employee,26550,86,38
male,12,employee,26700,86,367
male,8,employee,26250,85,171
male,12,employee,25200,85,29
male,15,employee,39300,84,72
male,15,employee,38850,84,53
male,15,employee,37500,84,33
male,12,employee,19650,84,180
male,12,employee,29340,83,150
male,15,employee,39600,83,47
male,12,employee,29100,83,50
male,15,employee,33150,83,69
male,15,employee,27300,83,91
male,15,employee,30600,83,216
male,15,employee,28950,83,108
male,15,employee,38400,83,64
male,15,employee,30150,82,72
male,16,employee,34620,82,149
male,15,employee,80000,82,34
male,12,employee,25350,82,32
male,12,employee,29850,82,85
male,15,employee,22500,82,371
male,15,employee,26550,81,52
male,15,employee,50550,81,44
male,12,employee,25500,81,9
male,8,employee,21300,80,24
male,12,employee,22350,80,272
male,15,employee,40200,79,38
male,15,employee,28650,79,261
male,15,employee,27750,79,55
male,18,employee,66875,79,30
male,12,employee,33900,79,94
male,14,employee,27900,79,47
male,16,employee,40350,78,20
male,14,employee,25950,78,53
male,15,employee,25050,78,24
male,12,employee,26700,78,25
male,8,employee,24000,78,476
male,12,employee,26850,78,48
male,16,employee,26550,78,105
male,12,employee,31500,78,7
male,8,employee,22350,78,320
male,15,employee,30750,77,41
male,15,employee,34500,77,63
male,15,employee,26250,77,38
male,16,employee,44875,77,22
male,15,employee,27750,77,52
male,12,employee,27750,77,12
male,15,employee,43410,76,12
male,12,employee,22050,76,385
male,12,employee,26700,76,18
male,15,employee,27300,75,132
male,12,employee,35700,73,72
male,15,employee,25950,72,83
male,15,employee,28350,72,48
male,16,employee,35700,72,138
male,14,employee,28050,71,15
male,15,employee,21300,70,372
male,12,employee,22500,70,216
male,15,employee,29400,70,15
male,12,employee,27450,70,41
male,15,employee,29850,70,48
male,15,employee,25350,70,56
male,17,employee,27000,70,192
male,12,employee,24000,70,120
male,14,employee,30150,69,110
male,15,employee,30300,68,55
male,19,employee,36000,68,21
male,15,employee,31950,68,70
male,15,employee,35250,67,6
male,15,employee,37800,67,36
male,15,employee,31200,67,46
male,15,employee,29400,67,68
male,15,employee,33900,67,96
male,15,employee,27150,67,78
male,16,employee,33300,67,120
male,8,employee,26250,67,97
male,15,employee,31950,67,58
male,12,employee,30750,66,56
male,12,employee,33540,66,47
male,16,employee,34950,66,55
male,15,employee,40350,66,80
male,12,employee,30270,66,80
male,8,employee,26250,66,264
male,15,employee,32400,66,64
male,15,employee,28050,66,84
male,15,employee,49000,66,86
male,15,employee,28500,65,20
male,12,employee,28800,65,210
male,15,employee,24450,65,338
male,15,employee,31650,65,10
male,12,employee,33900,64,106
male,12,employee,26250,64,69
male,15,employee,26400,64,32
male,15,employee,39150,63,46
male,12,employee,30750,95,307
male,12,employee,30750,94,240
male,8,employee,30750,92,432
male,8,employee,30000,92,144
male,12,employee,30750,91,314
male,12,employee,30750,91,240
male,15,employee,24300,90,191
male,12,employee,30750,90,209
male,8,employee,30750,87,451
male,8,employee,31950,85,438
male,8,employee,30750,84,380
male,12,employee,33750,83,284
male,8,employee,30750,83,302
male,12,employee,30600,80,460
male,12,employee,30000,79,308
male,8,employee,34500,79,246
male,8,employee,30750,78,429
male,12,employee,35250,78,387
male,12,employee,35250,78,281
male,12,employee,30750,77,317
male,8,employee,29550,76,144
male,8,employee,31950,74,408
male,12,employee,31200,73,155
male,12,employee,30000,69,348
male,8,employee,28500,69,174
male,8,employee,30300,68,155
male,8,employee,30000,67,305
female,16,manager,37800,90,7
female,16,manager,41550,89,285
female,16,manager,46875,86,19
female,16,manager,54375,81,81
female,16,manager,43000,79,20
female,16,manager,56750,73,15
female,16,manager,58125,71,11
female,16,manager,43500,68,11
female,16,manager,34410,65,79
female,16,manager,55750,64,36
male,15,manager,57000,98,144
male,16,manager,103750,97,70
male,19,manager,60375,96,96
male,19,manager,135000,96,199
male,19,manager,110625,96,120
male,19,manager,92000,96,175
male,17,manager,81250,96,18
male,16,manager,60000,94,59
male,18,manager,73750,94,56
male,16,manager,48000,93,22
male,17,manager,55000,93,32
male,16,manager,53125,93,48
male,19,manager,78125,93,7
male,16,manager,46000,93,35
male,16,manager,45250,93,36
male,16,manager,56550,93,34
male,17,manager,82500,93,207
male,19,manager,72500,92,10
male,19,manager,68750,92,8
male,18,manager,78250,91,47
male,16,manager,60625,91,44
male,19,manager,97000,91,68
male,19,manager,91250,91,23
male,16,manager,54875,90,68
male,17,manager,68750,89,38
male,20,manager,59375,89,6
male,21,manager,65000,88,264
male,16,manager,42300,87,126
male,16,manager,66000,86,150
male,16,manager,45625,86,60
male,20,manager,69250,85,134
male,16,manager,58750,84,13
male,15,manager,54900,83,49
male,19,manager,70875,83,156
male,16,manager,51250,83,69
male,17,manager,67500,83,9
male,16,manager,66750,83,258
male,16,manager,40200,81,3
male,19,manager,55500,81,62
male,19,manager,75000,81,13
male,18,manager,68125,80,29
