vendor,myct,mmin,mmax,cach,chmin,chmax,prp
adviser,125,256,6000,256,16,128,198
amdahl,29,8000,32000,32,8,32,269
amdahl,29,8000,32000,32,8,32,220
amdahl,29,8000,32000,32,8,32,172
amdahl,29,8000,16000,32,8,16,132
amdahl,26,8000,32000,64,8,32,318
amdahl,23,16000,32000,64,16,32,367
amdahl,23,16000,32000,64,16,32,489
amdahl,23,16000,64000,64,16,32,636
amdahl,23,32000,64000,128,32,64,1144
apollo,400,1000,3000,0,1,2,38
apollo,400,512,3500,4,1,6,40
basf,60,2000,8000,65,1,8,92
basf,50,4000,16000,65,1,8,138
bti,350,64,64,0,1,4,10
bti,200,512,16000,0,4,32,35
burroughs,167,524,2000,8,4,15,19
burroughs,143,512,5000,0,7,32,28
burroughs,143,1000,2000,0,5,16,31
burroughs,110,5000,5000,142,8,64,120
burroughs,143,1500,6300,0,5,32,30
burroughs,143,3100,6200,0,5,20,33
burroughs,143,2300,6200,0,6,64,61
burroughs,110,3100,6200,0,6,64,76
c.r.d,320,128,6000,0,1,12,23
c.r.d,320,512,2000,4,1,3,69
c.r.d,320,256,6000,0,1,6,33
c.r.d,320,256,3000,4,1,3,27
c.r.d,320,512,5000,4,1,5,77
c.r.d,320,256,5000,4,1,6,27
cdc,25,1310,2620,131,12,24,274
cdc,25,1310,2620,131,12,24,368
cdc,50,2620,10480,30,12,24,32
cdc,50,2620,10480,30,12,24,63
cdc,56,5240,20970,30,12,24,106
cdc,64,5240,20970,30,12,24,208
cdc,50,500,2000,8,1,4,20
cdc,50,1000,4000,8,1,5,29
cdc,50,2000,8000,8,1,5,71
cambex,50,1000,4000,8,3,5,26
cambex,50,1000,8000,8,3,5,36
cambex,50,2000,16000,8,3,5,40
cambex,50,2000,16000,8,3,6,52
cambex,50,2000,16000,8,3,6,60
dec,133,1000,12000,9,3,12,72
dec,133,1000,8000,9,3,12,72
dec,810,512,512,8,1,1,18
dec,810,1000,5000,0,1,1,20
dec,320,512,8000,4,1,5,40
dec,200,512,8000,8,1,8,62
dg,700,384,8000,0,1,1,24
dg,700,256,2000,0,1,1,24
dg,140,1000,16000,16,1,3,138
dg,200,1000,8000,0,1,2,36
dg,110,1000,4000,16,1,2,26
dg,110,1000,12000,16,1,2,60
dg,220,1000,8000,16,1,2,71
formation,800,256,8000,0,1,4,12
formation,800,256,8000,0,1,4,14
formation,800,256,8000,0,1,4,20
formation,800,256,8000,0,1,4,16
formation,800,256,8000,0,1,4,22
four-phase,125,512,1000,0,8,20,36
gould,75,2000,8000,64,1,38,144
gould,75,2000,16000,64,1,38,144
gould,75,2000,16000,128,1,38,259
hp,90,256,1000,0,3,10,17
hp,105,256,2000,0,3,10,26
hp,105,1000,4000,0,3,24,32
hp,105,2000,4000,8,3,19,32
hp,75,2000,8000,8,3,24,62
hp,75,3000,8000,8,3,48,64
hp,175,256,2000,0,3,24,22
harris,300,768,3000,0,6,24,36
harris,300,768,3000,6,6,24,44
harris,300,768,12000,6,6,24,50
harris,300,768,4500,0,1,24,45
harris,300,384,12000,6,1,24,53
harris,300,192,768,6,6,24,36
harris,180,768,12000,6,1,31,84
honeywell,330,1000,3000,0,2,4,16
honeywell,300,1000,4000,8,3,64,38
honeywell,300,1000,16000,8,2,112,38
honeywell,330,1000,2000,0,1,2,16
honeywell,330,1000,4000,0,3,6,22
honeywell,140,2000,4000,0,3,6,29
honeywell,140,2000,4000,0,4,8,40
honeywell,140,2000,4000,8,1,20,35
honeywell,140,2000,32000,32,1,20,134
honeywell,140,2000,8000,32,1,54,66
honeywell,140,2000,32000,32,1,54,141
honeywell,140,2000,32000,32,1,54,189
honeywell,140,2000,4000,8,1,20,22
ibm,57,4000,16000,1,6,12,132
ibm,57,4000,24000,64,12,16,237
ibm,26,16000,32000,64,16,24,465
ibm,26,16000,32000,64,8,24,465
ibm,26,8000,32000,0,8,24,277
