age,income,cards,educ,carloans,rating
57,3,1,1,1,1
51,2,2,1,2,1
27,3,1,1,1,1
28,1,1,1,1,1
30,3,1,1,2,1
28,3,2,1,2,1
42,3,2,1,1,1
35,2,2,1,1,1
24,2,1,1,1,1
36,3,1,1,1,1
30,2,1,2,1,1
41,2,1,2,1,1
42,2,2,2,2,1
44,2,2,2,2,1
42,3,2,2,2,1
39,3,2,2,1,1
54,3,2,2,2,1
37,2,1,1,1,1
40,1,2,1,2,1
33,2,1,1,1,1
31,2,2,1,2,1
34,2,2,1,2,1
38,3,2,2,1,1
48,3,2,2,2,1
44,2,2,2,2,1
39,2,1,2,1,1
39,2,2,1,2,1
34,2,1,1,1,1
36,2,1,2,1,1
32,2,1,1,1,1
29,2,2,2,2,1
38,2,1,2,1,1
34,3,2,1,2,1
27,2,2,1,2,1
22,3,1,1,1,1
43,2,1,2,1,1
40,1,2,2,2,1
21,2,2,2,1,1
38,2,2,2,2,1
43,3,1,2,1,1
36,2,2,1,2,1
40,3,2,1,2,1
38,2,2,1,2,1
30,3,1,2,2,1
34,2,1,2,1,1
32,2,1,2,1,1
47,2,1,1,1,1
36,3,1,1,1,1
27,3,1,1,1,1
30,3,2,1,2,1
28,3,1,2,2,1
29,3,2,1,2,1
42,2,1,1,1,1
52,2,1,2,2,1
34,2,1,1,1,1
43,3,1,2,1,1
30,2,1,2,1,1
38,2,2,1,2,1
28,2,1,1,1,1
47,2,1,1,1,1
40,3,2,2,2,1
58,2,2,1,1,1
25,3,2,2,2,1
37,2,2,1,2,1
40,3,2,1,1,1
40,2,1,2,1,1
43,3,1,2,1,1
45,2,1,2,1,1
21,3,2,1,2,1
41,3,1,2,1,1
48,1,2,1,1,1
47,2,2,1,2,1
33,2,2,1,2,1
28,2,1,2,1,1
50,2,2,2,2,1
36,3,1,2,1,1
42,3,2,2,2,1
35,2,1,2,1,1
34,3,1,2,1,1
40,3,1,1,1,1
42,3,2,2,2,1
33,3,2,1,2,1
26,3,2,1,1,1
25,3,2,1,2,1
30,2,2,1,2,1
28,3,1,1,1,1
36,3,2,2,2,1
44,2,1,2,1,1
35,3,2,2,2,1
41,3,2,1,2,1
37,2,2,1,2,1
38,3,1,1,1,1
47,2,1,1,1,1
31,1,2,1,2,1
36,1,1,2,2,1
55,2,1,1,1,1
27,2,1,1,1,1
37,3,1,1,1,1
28,3,2,2,2,1
42,3,2,2,2,1
40,3,1,1,1,1
40,3,2,2,2,1
41,3,2,2,2,1
35,3,2,2,2,1
38,2,1,2,1,1
28,1,2,1,2,1
48,2,1,2,2,1
44,1,1,2,1,1
28,2,2,2,2,1
23,2,2,1,2,1
28,2,1,2,1,1
32,2,2,2,2,1
33,2,2,2,2,1
22,3,1,2,1,1
34,3,1,1,1,1
36,3,1,2,1,1
36,2,1,2,2,1
28,3,1,2,1,1
43,2,2,2,2,1
47,3,1,1,1,1
36,3,1,2,1,1
31,2,2,2,1,1
48,3,2,1,2,1
59,3,2,2,2,1
32,1,1,1,1,1
48,3,2,2,1,1
46,2,1,2,1,1
41,2,2,1,2,1
36,2,2,1,2,1
34,2,1,1,2,1
34,2,1,2,1,1
49,3,2,2,2,1
38,3,1,2,1,1
35,2,2,2,2,1
46,2,1,1,1,1
21,3,1,2,1,1
31,3,2,1,2,1
42,3,2,1,2,1
40,2,1,1,1,1
31,3,1,1,1,1
41,3,1,2,1,1
35,3,2,1,2,1
43,3,2,1,2,1
32,2,1,1,1,1
39,2,1,1,1,1
51,2,1,1,1,1
36,2,1,1,1,1
42,3,1,2,1,1
21,2,1,2,1,1
32,2,1,1,1,1
45,3,2,2,2,1
41,2,1,2,1,1
57,2,1,1,1,1
49,2,1,1,1,1
38,3,2,2,2,1
42,3,2,2,2,1
49,3,2,2,2,1
40,3,1,2,1,1
33,3,1,2,1,1
23,2,2,1,2,1
39,3,2,2,2,1
34,2,1,2,1,1
37,2,1,2,1,1
28,3,1,2,1,1
29,3,2,2,2,1
47,3,1,2,1,1
27,1,1,1,1,1
29,2,2,2,1,1
50,3,2,1,2,1
40,3,2,2,2,1
33,2,1,2,2,1
37,2,1,1,1,1
32,3,1,1,1,1
38,3,2,2,2,1
40,2,1,2,1,1
41,2,2,2,2,1
26,3,1,1,2,1
36,2,2,2,2,1
41,3,1,2,1,1
51,3,2,2,2,1
27,2,1,2,1,1
30,1,1,2,1,1
41,2,1,1,1,1
25,2,1,1,1,1
40,1,2,1,2,1
33,2,2,1,2,1
21,2,1,1,1,1
29,3,2,2,2,1
36,3,1,2,1,1
28,3,1,1,1,1
28,3,2,2,2,1
37,3,2,2,2,1
35,3,2,1,2,1
43,2,2,1,2,1
38,2,2,2,2,1
42,3,1,2,1,1
28,2,1,2,1,1
36,3,2,2,2,1
33,3,2,1,1,1
33,2,2,1,2,1
28,3,1,2,1,1
28,2,2,2,2,1
38,2,1,1,1,1
31,3,2,1,2,1
53,3,2,2,2,1
34,3,1,2,1,1
45,2,1,2,1,1
30,3,2,1,1,1
21,3,2,2,2,1
29,3,1,1,1,1
39,3,1,2,1,1
39,2,1,1,1,1
49,3,1,2,1,1
42,2,1,1,1,1
32,2,1,2,1,1
42,3,1,2,1,1
48,3,1,1,1,1
34,3,2,1,2,1
42,2,1,2,1,1
26,3,1,1,1,1
31,3,1,1,1,1
34,3,2,1,2,1
28,3,1,1,1,1
36,2,1,2,1,1
53,3,2,1,1,1
43,2,1,2,1,1
39,3,2,1,2,1
29,2,1,2,1,1
47,3,1,1,1,1
32,1,2,1,1,1
26,1,1,2,1,1
46,3,2,1,2,1
41,2,2,2,2,1
46,3,2,2,2,1
26,3,2,1,2,1
57,3,2,1,2,1
52,2,1,2,1,1
43,1,2,2,2,1
46,3,1,2,1,1
23,3,1,1,1,1
24,3,1,2,1,1
25,3,1,1,1,1
35,2,1,1,1,1
41,1,2,2,2,1
44,3,1,1,1,1
41,2,2,1,2,1
