gender,card,type,items,spent
1,3,1,2,167.81
1,3,2,9,809.87
1,3,3,1,111.09
1,3,4,3,579.1
1,3,5,8,409.63
1,3,1,5,281.34
1,3,2,10,1011.05
1,3,3,0,0
1,3,4,1,183.37
1,3,5,3,234.41
1,3,1,5,357.51
1,3,2,9,475.9
1,3,3,0,0
1,3,4,1,205.83
1,3,5,3,246.56
1,3,1,0,0
1,3,2,9,828.81
1,3,3,0,0
1,3,4,4,754.8
1,3,5,4,290.65
1,3,1,2,145.8
1,3,2,5,529.12
1,3,3,1,143.99
1,3,4,2,245.9
1,3,5,4,231.03
1,3,1,5,313.59
1,3,2,6,318.92
1,3,3,0,0
1,3,4,3,473.05
1,3,5,1,76.46
1,3,1,5,305.43
1,3,2,4,308.41
1,3,3,1,98.79
1,3,4,1,196.49
1,3,5,2,187.54
1,3,1,3,235.42
1,3,2,4,204.89
1,3,3,0,0
1,3,4,2,350.63
1,3,5,2,106.34
1,3,1,5,298.58
1,3,2,6,294.77
1,3,3,1,78.22
1,3,4,4,655.2
1,3,5,7,572.46
1,3,1,2,151.61
1,3,2,6,552.88
1,3,3,1,52.56
1,3,4,3,357.39
1,3,5,7,377.13
1,3,1,3,139.35
1,3,2,9,633.2
1,3,3,0,0
1,3,4,5,830.88
1,3,5,5,383.33
1,3,1,4,294.19
1,3,2,9,737.09
1,3,3,1,58.38
1,3,4,3,480.13
1,3,5,3,265.7
1,3,1,5,364.21
1,3,2,10,615.07
1,3,3,2,109.75
1,3,4,1,148.37
1,3,5,6,431.91
1,3,1,1,57.13
1,3,2,4,197.21
1,3,3,1,109.59
1,3,4,0,0
1,3,5,6,349.43
1,3,1,4,183.35
1,3,2,10,821.4
1,3,3,0,0
1,3,4,2,345.04
1,3,5,5,412.29
1,3,1,5,330.98
1,3,2,9,639.37
1,3,3,1,57.57
1,3,4,2,257.22
1,3,5,1,52.61
1,3,1,1,57.02
1,3,2,3,198.96
1,3,3,0,0
1,3,4,0,0
1,3,5,3,288.17
1,3,1,0,0
1,3,2,9,843.43
1,3,3,0,0
1,3,4,5,593.94
1,3,5,6,368.46
1,3,1,4,183.07
1,3,2,8,723.29
1,3,3,1,124.32
1,3,4,2,306.48
1,3,5,5,320.38
1,3,1,4,214.64
1,3,2,6,279.53
1,3,3,0,0
1,3,4,2,287.02
1,3,5,4,362.41
1,3,1,5,280.12
1,3,2,8,399.58
1,3,3,1,149.76
1,3,4,1,104.34
1,3,5,2,199.27
1,3,1,3,218.21
1,3,2,7,447.85
1,3,3,1,151.01
1,3,4,4,602.16
1,3,5,8,704.21
1,3,1,5,379.28
1,3,2,10,977.09
1,3,3,1,139.63
1,3,4,4,431.02
1,3,5,6,318.15
1,3,1,4,193.43
1,3,2,9,430.09
1,3,3,1,96.28
1,3,4,2,266.38
1,3,5,6,576.39
1,3,1,3,243.21
1,3,2,1,43.3
1,3,3,2,120.01
1,3,4,3,350.98
1,3,5,1,86.18
1,3,1,2,112.54
1,3,2,5,253.72
1,3,3,1,88.03
1,3,4,2,261.71
1,3,5,5,280.29
1,3,1,2,163.97
1,3,2,7,512.09
1,3,3,0,0
1,3,4,3,522.89
1,3,5,3,296.71
1,3,1,2,164.96
1,3,2,2,78.28
1,3,3,1,69.64
1,3,4,1,143.1
1,3,5,5,398.81
1,3,1,4,207.22
1,3,2,6,294.88
1,3,3,3,252.52
1,3,4,2,312.54
1,3,5,4,342.6
1,3,1,3,252.06
1,3,2,2,119.85
1,3,3,2,199.8
1,3,4,1,193.82
1,3,5,5,390.01
1,3,1,1,58.72
1,3,2,9,643.8
1,3,3,2,133.67
1,3,4,0,0
1,3,5,4,312.89
1,3,1,1,61.39
1,3,2,5,272
1,3,3,0,0
1,3,4,2,388.97
1,3,5,5,360.23
1,3,1,5,279.5
1,3,2,9,755.94
1,3,3,1,57.84
1,3,4,2,214.47
1,3,5,2,211.52
1,3,1,1,82.87
1,3,2,5,232.8
1,3,3,1,151.23
1,3,4,2,295.33
1,3,5,0,0
1,3,1,4,234.67
1,3,2,6,540.95
1,3,3,2,305.72
1,3,4,5,622.73
1,3,5,4,410.07
1,3,1,2,121.29
1,3,2,2,150.48
1,3,3,1,59.12
1,3,4,2,298.38
1,3,5,5,469.9
1,3,1,3,188.32
1,3,2,10,662.79
1,3,3,1,143.12
1,3,4,1,129.83
1,3,5,6,555.43
1,3,1,5,372.92
1,3,2,3,130.86
1,3,3,2,131.12
1,3,4,1,205.22
1,3,5,4,409.69
1,3,1,4,275.93
1,3,2,4,150.86
1,3,3,2,185.69
1,3,4,5,901.06
1,3,5,6,410.81
1,3,1,1,59.42
1,3,2,2,79.67
1,3,3,0,0
1,3,4,1,195.46
1,3,5,1,62.24
1,3,1,3,202.64
1,3,2,2,99.85
1,3,3,1,142.99
1,3,4,2,343.47
1,3,5,0,0
1,3,1,0,0
1,3,2,2,124.32
1,3,3,4,300.4
1,3,4,1,116.16
1,3,5,6,390.35
1,3,1,1,62
1,3,2,10,440.06
1,3,3,0,0
1,3,4,2,286.7
1,3,5,2,136.63
1,3,1,4,324.82
1,3,2,9,386.2
1,3,3,0,0
1,3,4,0,0
1,3,5,2,172.37
1,3,1,4,336.04
1,3,2,8,356.65
1,3,3,1,110.41
1,3,4,2,227.49
1,3,5,1,64.29
1,3,1,5,327.71
1,3,2,7,280.28
1,3,3,2,178.99
1,3,4,4,778.02
1,3,5,3,224.58
1,3,1,2,127.7
1,3,2,5,482.7
1,3,3,0,0
1,3,4,1,132.83
1,3,5,5,374.84
1,3,1,2,114.63
1,3,2,3,148.26
1,3,3,1,104.82
1,3,4,2,222.36
1,3,5,4,261.75
1,4,1,2,97.62
1,4,2,0,0
1,4,3,0,0
1,4,4,5,940.35
1,4,5,0,0
1,4,1,1,53.76
1,4,2,0,0
1,4,3,1,132.17
1,4,4,2,339.2
1,4,5,0,0
1,4,1,0,0
1,4,2,9,593.4
1,4,3,0,0
1,4,4,3,311.56
1,4,5,6,326.52
1,4,1,2,109.36
1,4,2,3,213.05
1,4,3,1,117.18
1,4,4,0,0
1,4,5,0,0
1,4,1,0,0
1,4,2,2,84.63
1,4,3,2,286.19
1,4,4,1,141
1,4,5,0,0
1,4,1,0,0
1,4,2,8,541.73
1,4,3,0,0
1,4,4,0,0
1,4,5,1,99.19
1,4,1,3,188.42
1,4,2,3,158.23
1,4,3,0,0
1,4,4,0,0
1,4,5,1,60.13
1,4,1,0,0
1,4,2,0,0
1,4,3,2,207.14
1,4,4,1,139.69
