communityname,murdPerPop,rapesPerPop,robbbPerPop,assaultPerPop,burglPerPop,larcPerPop,autoTheftPerPop,arsonsPerPop,nonViolPerPop
Aberdeen,5.84,163.47,116.76,239.36,1155.93,7204.16,245.2,157.63,8762.92
Ada,0,31.34,62.69,438.82,1128.39,3391.42,219.41,43.88,4783.1
AgouraHills,0,7.85,39.23,321.68,568.83,1090.58,364.83,7.85,2032.09
Aiken,8,36.01,16.01,444.18,1052.42,3557.42,340.14,8,4957.98
Alameda,1.26,32.88,302.28,263.07,972.59,4145.85,605.82,58.18,5782.44
Alamogordo,6.63,23.19,29.82,424.08,974.06,3207.1,142.46,23.19,4346.82
Albany,26.59,66.47,571.68,698.58,3332.17,5991.13,634.53,2.42,9960.24
Albemarle,5.7,0,210.9,689.69,2376.88,6497.95,262.2,28.5,9165.53
Albuquerque,11.91,61.71,369.78,1151.97,1953.47,4896.67,852.49,55.04,7757.66
Alexander,26.29,6.57,72.29,236.59,368.03,506.05,26.29,0,900.37
Alexandria,45.39,49.71,252.87,3486.14,1638.25,6741.01,618.12,0,8997.38
Alhambra,3.54,22.4,366.59,152.06,1053.81,2027.47,941.83,38.9,4062
Alice,0,38.55,48.19,587.92,1874.61,4631.1,197.58,106.02,6809.31
Allentown,5.69,39.81,307.07,328.87,1594.12,4415.57,424.59,39.81,6474.08
Alliance,0,105.16,403.8,504.75,1800.29,6730.04,626.74,88.33,9245.39
Alpharetta,0,0,0,60.9,445.03,1592.73,206.12,0,2243.88
Altoona,0,30.41,76.02,203.35,792.5,1687.64,186.25,41.81,2708.2
Altus,4.46,0,71.3,231.74,1537.5,4028.7,129.24,4.46,5699.9
Alvin,9.11,22.79,77.48,241.55,811.23,4584.81,255.22,9.11,5660.38
Amarillo,6.54,52.93,123.7,488.28,1628.98,5561.37,385.98,41.04,7617.37
AmericanFork,0,37.63,0,150.51,483.77,3144.49,166.63,0,3794.88
Americus,0,0,135.07,472.73,821.66,4158.93,180.09,22.51,5183.18
Amesbury,0,0,0,566.68,528.9,1372.62,270.75,0,2172.27
Amherst,0,53.82,71.76,0,251.14,2897.12,107.63,8.97,3264.87
Anacortes,0,15.29,0,53.51,267.54,3210.52,191.1,61.15,3730.32
Anchorage,9.07,83.63,224.06,556.21,741.62,4205.13,547.14,41.42,5535.31
Anderson,13.13,55.79,160.8,210.02,997.6,3691.79,205.1,14.77,4909.26
Andrews,0,0,9.15,164.62,649.35,2249.86,100.6,0,2999.82
Angleton,5.25,78.79,99.8,362.43,819.41,3004.52,262.63,21.01,4107.57
Annapolis,11.29,73.4,567.46,776.38,1558.4,4401.34,403.72,211.74,6575.2
Anniston,43.76,131.27,517.78,2847.77,3824.98,7617.14,645.4,98.45,12185.96
Ansonia,11.02,11.02,77.11,247.85,473.67,2004.85,446.13,27.54,2952.19
Antioch,9.54,28.62,213.94,468.75,1178.7,2804.35,531.44,110.38,4624.86
ApacheJunction,4.52,36.19,22.62,325.75,968.19,3298.19,275.98,27.15,4569.52
Appleton,2.85,12.83,15.68,32.78,530.25,3117.38,124.01,35.64,3807.28
Arcadia,3.93,7.86,188.58,198.4,942.88,2854.17,644.3,41.25,4482.6
Arcata,0,51.52,38.64,309.12,1088.36,6246.78,341.32,25.76,7702.22
Ardmore,12.64,16.85,160.07,534.96,2788.54,6065.71,585.51,8.42,9448.19
Arkadelphia,9.42,0,37.69,0,226.14,2553.47,131.91,0,2911.52
Arlington,2.39,49.94,242.88,477.55,1360.48,3938.78,838.8,33.18,6171.23
Arnold,4.94,9.87,49.37,335.69,488.72,2473.22,153.03,19.75,3134.72
ArroyoGrande,0,32.85,39.41,624.06,762,2522.5,137.95,39.41,3461.87
Artesia,19.15,19.15,574.53,1027.77,1666.13,2125.76,1008.62,57.45,4857.96
Arvada,0,19.42,49.07,198.32,631.77,2681.43,234.1,27.6,3574.9
AsburyPark,12.75,121.13,956.27,962.64,1408.9,5010.84,898.89,12.75,7331.38
Asheboro,5.32,10.65,250.17,361.95,1735.24,5280.25,372.6,15.97,7404.06
Asheville,13.76,67.28,217.14,399.1,1755.43,5062.92,539.78,12.23,7370.37
Ashland,0,4.72,9.43,18.86,320.68,1796.75,141.48,9.43,2268.33
Ashwaubenonvil,0,11.49,28.72,114.88,390.58,4365.31,120.62,11.49,4888
Astontown,0,32.6,39.12,195.61,339.05,1421.4,208.65,39.12,2008.22
Astoria,0,77.15,28.93,192.88,1369.47,3404.38,308.61,28.93,5111.39
Atascadero,0,45.17,53.38,234.06,1104.59,2357,160.14,24.64,3646.37
Athens,8.85,17.7,17.7,1256.64,1398.23,3053.1,238.94,8.85,4699.12
Athol,8.38,83.83,41.91,930.51,1089.78,1810.71,75.45,0,2975.94
Atlanta,50.21,121.68,1495.04,2359.67,3256.69,7728.45,2279.29,61.33,13325.77
AtlanticCity,27.21,125.16,1749.56,1681.54,3450.15,22164.78,1118.31,277.54,27010.77
Atwater,12.77,29.81,106.46,562.08,1733.09,3146.82,421.56,42.58,5344.06
Auburn,6.51,32.54,55.31,97.61,575.87,3100.6,19.52,6.51,3702.5
Augusta,33.82,40.58,471.17,299.83,2838.27,5216.65,1201.59,36.07,9292.57
Aurora,7.7,67.31,300.07,1432.22,1179.6,4668.1,603.79,48.25,6499.74
Austin,7.37,53.98,309.75,228.68,1683.8,7100.74,867.9,121.51,9773.95
Avondale,4.68,42.11,107.61,626.93,2811.83,3714.79,664.36,74.86,7265.84
Avon,0,7.17,21.5,14.34,286.72,1440.76,57.34,7.17,1791.99
Azusa,9.24,39.25,233.2,376.36,1304.55,2038.79,796.58,27.71,4167.63
Bainbridge,17.45,34.89,287.88,645.56,1640.06,5888.51,244.26,8.72,7781.56
Bakersfield,14.06,20.31,295.8,644.2,1900.83,4425.56,830.64,58.85,7215.88
BalchSprings,5.18,98.34,186.34,1718.43,1330.23,3845.76,688.41,119.05,5983.44
BaldwinPark,10.94,19.14,268.02,306.31,1564.38,396.56,1016.03,21.88,2998.85
Ballwin,0,4.13,33.08,41.35,285.29,1310.68,53.75,0,1649.71
Baltimore,49.56,93.79,1737.69,1200.21,2513.45,5820.06,1491.56,76.52,9901.59
Bangor,6.24,56.2,62.44,99.91,505.79,4102.53,199.82,34.34,4842.49
