previous,age,income,education,reside,gender,children,region
No,41,Less than 25,Highschool,7,Female,0,West
No,62,50-74,Postgraduate,10,Female,1,West
No,30,75+,Postgraduate,9,Male,0,West
No,39,Less than 25,Some college,12,Male,0,West
No,32,25-49,Highschool,8,Male,0,West
No,59,50-74,Highschool,13,Male,1,West
No,35,25-49,Highschool,10,Male,0,West
No,20,Less than 25,Postgraduate,12,Male,0,West
No,35,25-49,College,15,Male,0,West
No,48,50-74,College,9,Male,1,West
No,47,Less than 25,Postgraduate,10,Male,0,West
No,33,75+,Less than highschool,14,Male,0,West
No,60,50-74,College,5,Male,1,West
No,47,50-74,Highschool,7,Male,0,West
No,28,75+,College,6,Male,0,West
No,48,50-74,College,10,Male,0,West
No,40,25-49,Highschool,15,Female,0,West
No,53,50-74,Highschool,11,Female,1,West
No,36,Less than 25,College,10,Female,0,West
No,46,Less than 25,Less than highschool,7,Female,0,West
No,22,Less than 25,College,8,Female,0,West
No,25,Less than 25,Postgraduate,8,Female,0,West
No,49,50-74,Highschool,9,Female,3,West
No,35,Less than 25,Postgraduate,9,Female,0,West
No,44,50-74,Postgraduate,8,Female,1,West
No,51,50-74,Highschool,11,Female,1,West
No,45,25-49,Some college,8,Female,1,West
No,46,25-49,Less than highschool,6,Female,1,West
No,42,50-74,Less than highschool,14,Female,1,West
No,32,25-49,Postgraduate,12,Female,0,West
No,48,75+,Postgraduate,11,Female,0,West
No,31,Less than 25,Some college,7,Female,0,West
No,27,Less than 25,College,13,Female,0,West
No,45,75+,Some college,8,Female,3,West
No,50,50-74,Less than highschool,9,Female,1,West
No,56,75+,College,5,Female,1,West
Yes,31,25-49,Some college,11,Female,0,West
No,33,Less than 25,Some college,7,Female,0,West
No,32,Less than 25,Less than highschool,12,Female,0,West
No,37,Less than 25,Some college,12,Female,0,West
No,35,75+,Less than highschool,7,Female,0,West
No,29,75+,Postgraduate,7,Female,0,West
No,44,50-74,Postgraduate,10,Female,3,West
No,47,50-74,College,10,Female,2,West
No,39,Less than 25,Highschool,9,Female,0,West
Yes,58,75+,Postgraduate,15,Female,2,West
No,41,75+,College,9,Female,2,West
No,45,75+,College,13,Female,1,West
No,43,75+,Some college,7,Female,3,West
No,44,Less than 25,Some college,15,Female,0,West
Yes,35,Less than 25,Some college,12,Female,0,West
No,41,25-49,Some college,9,Female,0,West
No,30,Less than 25,Less than highschool,8,Female,0,West
No,46,50-74,Postgraduate,7,Female,1,West
No,58,50-74,College,6,Female,1,West
No,33,Less than 25,Postgraduate,10,Female,0,West
No,48,25-49,College,7,Female,0,West
No,62,75+,Highschool,9,Female,3,West
No,41,25-49,Postgraduate,14,Female,1,West
No,27,Less than 25,Highschool,10,Female,0,West
No,53,75+,Postgraduate,11,Female,1,West
No,40,50-74,Highschool,1,Female,1,West
No,41,25-49,Highschool,4,Female,1,West
No,26,25-49,Highschool,9,Female,0,West
No,33,50-74,College,11,Female,2,West
No,49,50-74,College,7,Female,1,West
No,34,Less than 25,Highschool,7,Female,0,West
No,56,50-74,Postgraduate,14,Female,1,West
No,17,Less than 25,Some college,10,Female,0,West
No,44,75+,College,13,Female,3,West
No,22,25-49,Postgraduate,14,Female,1,West
No,30,75+,Less than highschool,11,Female,0,West
No,62,50-74,Postgraduate,7,Female,1,West
No,60,75+,Postgraduate,9,Female,1,West
No,54,25-49,Highschool,11,Female,1,West
No,32,Less than 25,Postgraduate,12,Female,0,West
No,61,75+,Postgraduate,6,Female,1,West
No,51,50-74,College,10,Female,0,West
No,36,75+,Postgraduate,11,Female,3,West
No,62,50-74,College,6,Female,3,West
No,29,Less than 25,Some college,11,Female,0,West
No,60,75+,College,9,Female,0,West
No,36,Less than 25,Some college,12,Female,0,West
No,49,50-74,Highschool,11,Female,1,West
No,47,Less than 25,Less than highschool,11,Female,0,West
No,49,50-74,Less than highschool,12,Female,2,West
No,48,50-74,Postgraduate,10,Female,2,West
No,43,75+,College,12,Female,2,West
No,26,Less than 25,Postgraduate,9,Female,0,West
No,32,75+,Some college,10,Female,2,West
No,56,75+,Highschool,9,Female,1,West
No,52,25-49,Highschool,6,Female,1,West
No,53,50-74,Some college,11,Female,2,West
No,38,50-74,Highschool,13,Female,2,West
No,33,25-49,Postgraduate,11,Female,0,West
No,24,25-49,Postgraduate,12,Female,0,West
No,54,75+,Less than highschool,10,Female,2,West
No,16,Less than 25,Some college,10,Female,0,West
No,50,50-74,Highschool,12,Female,2,West
No,26,25-49,Less than highschool,9,Female,0,West
No,42,Less than 25,Less than highschool,9,Female,0,West
No,43,25-49,Less than highschool,12,Female,1,West
No,49,Less than 25,Postgraduate,13,Female,0,West
No,36,Less than 25,Highschool,8,Female,0,West
No,25,75+,Postgraduate,6,Female,0,West
No,28,Less than 25,Some college,10,Female,0,West
No,17,Less than 25,Some college,9,Female,0,West
No,53,50-74,Less than highschool,13,Female,0,West
No,51,50-74,Highschool,10,Female,2,West
No,49,75+,College,9,Female,3,West
No,39,Less than 25,Highschool,8,Female,0,West
No,35,25-49,Less than highschool,6,Female,0,West
No,36,75+,Some college,12,Female,2,West
No,34,75+,Highschool,10,Female,1,West
No,33,Less than 25,Less than highschool,9,Female,0,West
Yes,58,25-49,College,13,Female,1,West
No,43,Less than 25,College,9,Female,0,West
No,51,50-74,Less than highschool,9,Female,1,West
No,25,Less than 25,Less than highschool,13,Female,1,West
No,20,Less than 25,Less than highschool,8,Female,0,West
No,57,75+,Highschool,5,Female,4,West
No,32,25-49,Highschool,12,Female,0,West
No,43,Less than 25,Highschool,8,Female,1,West
Yes,36,75+,Some college,6,Female,1,West
No,56,75+,College,11,Female,1,West
No,41,25-49,Some college,11,Female,0,West
No,41,Less than 25,Some college,7,Female,0,West
No,43,50-74,Less than highschool,8,Female,3,West
No,50,Less than 25,Highschool,10,Female,0,West
No,44,25-49,Some college,8,Female,1,West
No,29,Less than 25,Postgraduate,8,Female,0,West
No,51,50-74,Postgraduate,7,Female,2,West
No,31,Less than 25,Some college,6,Female,0,West
No,40,75+,Postgraduate,9,Female,0,West
No,37,50-74,Less than highschool,10,Female,3,West
No,50,50-74,College,8,Female,2,West
No,45,50-74,Some college,11,Female,1,West
No,37,25-49,Some college,6,Female,1,West
No,46,Less than 25,Postgraduate,7,Female,0,West
No,42,50-74,Postgraduate,12,Female,1,West
No,21,25-49,Some college,11,Female,0,West
No,36,Less than 25,Less than highschool,6,Female,0,West
No,63,50-74,Postgraduate,9,Female,3,West
No,27,25-49,Less than highschool,8,Female,1,West
No,54,75+,Postgraduate,10,Female,3,West
No,45,50-74,College,10,Female,0,West
No,35,Less than 25,Some college,9,Female,0,West
No,33,50-74,Some college,8,Female,3,West
No,48,75+,Some college,5,Female,1,West
No,43,50-74,Postgraduate,7,Female,2,West
No,47,25-49,Less than highschool,11,Female,1,West
No,54,50-74,Some college,6,Female,1,West
No,36,25-49,College,10,Female,0,West
No,35,25-49,Less than highschool,13,Female,0,West
No,41,25-49,Less than highschool,7,Female,1,West
No,32,75+,Some college,3,Female,0,West
No,32,Less than 25,College,9,Female,0,West
No,44,Less than 25,Less than highschool,7,Female,0,West
No,42,75+,Less than highschool,8,Female,2,West
No,47,75+,Postgraduate,9,Female,1,West
No,54,75+,Postgraduate,14,Female,1,West
No,22,Less than 25,Postgraduate,12,Female,0,West
No,43,75+,Postgraduate,10,Female,0,West
No,43,50-74,Less than highschool,10,Female,2,West
No,44,50-74,Some college,17,Female,1,West
No,58,50-74,Less than highschool,9,Female,1,West
No,40,75+,College,16,Female,1,West
