tenure,age,income,educ,members,churn
13,44,64,4,2,1
11,33,136,5,6,1
68,52,116,1,2,0
33,33,33,2,1,1
23,30,30,1,4,0
41,39,78,2,1,0
45,22,19,2,5,1
38,35,76,2,3,0
45,59,166,4,5,0
68,41,72,1,3,0
5,33,125,4,1,1
7,35,80,2,1,0
41,38,37,2,3,0
57,54,115,4,3,1
9,46,25,1,2,0
29,38,75,5,4,0
60,57,162,2,1,0
34,48,49,2,3,0
1,24,20,1,1,0
26,29,77,4,4,1
6,30,16,3,1,1
68,52,120,1,2,0
53,33,101,5,2,0
55,48,67,1,3,0
14,43,36,1,5,0
1,21,33,2,3,0
42,40,37,2,1,0
25,33,31,1,4,0
9,21,17,2,3,0
13,33,19,4,2,0
56,37,36,1,2,0
71,53,155,5,2,0
35,50,140,2,4,0
11,27,55,5,3,0
60,46,163,3,2,0
20,35,52,4,2,1
54,60,211,4,1,0
44,57,186,2,2,0
11,41,39,1,2,1
72,57,22,2,1,0
10,41,30,1,1,0
15,28,29,2,1,0
27,28,23,2,5,0
9,36,62,4,6,1
64,43,76,4,4,0
65,41,74,4,2,0
49,51,63,4,5,0
47,41,36,4,2,1
9,34,33,2,4,1
5,36,29,2,1,1
30,34,27,2,5,1
56,52,49,2,4,0
10,22,24,4,1,0
7,26,26,2,5,0
52,27,47,3,2,0
36,45,94,2,5,1
27,34,21,3,1,0
58,62,27,1,2,0
41,52,30,2,1,0
47,40,127,4,4,0
55,39,137,2,2,1
56,50,80,2,4,0
35,55,30,2,1,0
69,51,438,4,2,0
44,39,79,2,1,1
36,47,63,1,2,0
28,51,40,3,6,0
72,67,51,1,2,0
16,27,37,3,4,0
3,43,61,4,1,1
40,57,22,2,2,0
16,39,44,4,1,0
20,42,17,3,1,0
48,43,110,5,3,0
64,48,91,2,2,0
8,46,46,2,1,0
40,38,85,3,2,1
38,71,10,2,1,0
67,68,244,1,1,0
26,42,80,4,1,0
41,34,83,5,2,0
2,31,21,1,1,1
20,48,24,2,2,1
31,53,351,3,1,0
45,52,169,4,4,0
33,27,46,2,4,0
10,26,34,3,1,0
62,54,50,4,2,1
4,35,161,5,1,1
42,47,212,4,2,0
27,51,80,5,3,0
38,42,30,4,1,0
52,61,53,5,2,0
35,33,73,5,1,0
3,20,17,2,4,1
17,33,23,5,1,1
55,53,34,1,2,0
43,36,107,1,3,1
47,25,21,1,2,1
65,58,83,2,1,0
13,20,17,3,5,0
64,25,76,3,6,0
12,24,19,1,1,1
29,32,49,4,3,1
23,47,173,3,1,0
14,35,47,3,1,1
35,61,41,2,1,0
26,39,105,3,1,0
13,54,31,4,1,0
69,40,41,2,3,0
61,50,102,4,3,0
45,22,36,4,5,1
3,37,24,1,1,0
53,22,25,4,2,0
59,42,68,2,1,0
13,34,20,3,1,0
31,31,48,1,1,0
40,29,40,2,5,0
48,55,79,1,1,0
3,31,28,1,1,1
51,48,64,2,1,0
33,41,37,2,1,0
14,47,48,1,2,0
17,42,131,5,3,1
19,29,18,2,3,1
58,36,38,2,1,0
22,23,37,2,3,0
29,31,60,4,5,1
14,22,13,3,4,1
70,64,98,1,2,0
62,52,195,1,2,1
7,35,47,1,5,1
56,47,65,2,3,0
50,50,150,5,4,1
57,39,106,5,1,0
2,40,51,4,1,0
40,38,96,4,1,0
6,43,33,5,2,0
23,25,38,2,3,0
11,32,125,4,1,1
29,37,145,5,4,0
42,44,99,2,3,0
20,34,22,4,3,0
72,60,31,1,2,0
2,36,25,1,1,0
46,25,57,5,2,0
39,51,41,5,6,0
24,25,20,3,2,1
59,43,101,2,5,0
65,37,56,2,1,0
50,27,22,2,3,0
57,37,108,4,1,0
61,48,115,4,1,0
34,54,53,4,1,0
38,53,242,4,1,0
3,24,20,2,5,0
4,47,123,4,1,0
15,35,34,1,1,0
25,29,31,4,5,1
21,44,47,1,2,0
50,37,48,3,2,0
65,64,13,2,3,0
59,52,78,1,2,0
29,26,34,1,2,0
60,46,81,5,1,0
71,45,86,2,2,0
38,27,26,4,4,1
16,34,51,2,5,0
7,31,59,3,1,0
59,53,112,4,1,1
22,56,57,4,2,0
18,48,41,1,2,0
64,46,168,2,2,0
7,33,29,4,3,1
65,58,167,2,2,0
7,24,29,2,3,1
64,55,104,1,1,0
42,22,46,4,2,1
33,26,46,4,3,0
3,33,51,4,1,1
69,42,65,2,2,0
9,33,48,2,2,0
22,34,46,3,4,0
53,63,43,2,2,0
71,53,110,1,1,0
24,26,32,3,3,0
12,22,18,3,2,0
25,39,26,4,4,1
63,28,34,2,6,0
33,54,57,4,3,1
57,54,21,2,3,0
13,33,38,3,1,0
13,21,19,3,1,1
71,39,40,3,1,0
18,69,58,3,2,0
17,51,95,2,2,1
22,43,114,2,1,0
65,65,128,3,2,0
7,40,33,4,1,0
72,66,460,4,1,0
35,43,224,3,1,0
24,39,122,4,3,0
64,24,23,3,5,0
63,63,191,3,2,0
38,31,187,4,3,1
29,37,119,3,3,0
72,69,44,2,2,0
10,27,15,3,2,1
72,64,674,4,1,0
52,23,33,4,2,0
13,55,250,2,2,0
3,33,64,4,2,1
39,24,26,2,4,1
28,29,23,3,2,0
46,42,52,4,3,0
62,46,200,3,1,0
23,33,28,1,2,0
23,25,19,5,3,1
72,61,76,3,2,0
56,60,70,2,1,0
8,30,34,2,1,0
3,36,34,5,3,0
37,37,172,3,1,0
37,53,48,1,3,0
6,30,45,2,1,1
48,47,72,3,5,1
43,43,55,4,4,0
21,29,40,4,4,0
6,33,26,3,1,1
69,51,96,1,4,0
22,33,54,1,1,0
28,40,47,2,3,0
71,47,142,1,2,0
7,37,57,4,1,0
63,29,20,3,2,0
53,57,37,1,1,0
50,52,36,4,4,0
39,31,24,4,2,0
16,19,21,2,1,0
43,51,186,3,2,0
44,31,30,1,3,0
72,66,96,2,2,0
61,76,15,1,1,0
43,21,25,1,4,1
24,39,49,3,1,0
64,45,38,2,1,1
64,38,29,2,2,0
24,26,55,2,1,0
33,55,64,3,3,0
33,33,42,4,5,0
2,40,134,4,1,0
42,48,82,1,5,0
52,54,153,5,2,1
45,66,144,2,1,0
3,25,22,4,2,1
37,53,35,1,4,0
28,57,82,4,1,1
40,63,61,1,2,0
37,33,102,2,1,0
7,27,31,3,5,1
71,56,170,1,1,0
19,46,26,2,1,0
61,40,85,3,1,0
70,53,183,2,2,0
