engine,horse,weight,length,fuelcap,type
1.8,140,2639,172.4,13.2,0
3.2,225,3517,192.9,17.2,0
3.5,210,3850,196.6,18,0
1.8,150,2998,178,16.4,0
2.8,200,3561,192,18.5,0
4.2,310,3902,198.2,23.7,0
2.5,170,3179,176,16.6,0
2.8,193,3197,176,16.6,0
2.8,193,3472,188,18.5,0
3.1,175,3368,194.6,17.5,0
3.8,240,3543,196.2,17.5,0
3.8,205,3778,206.8,18.5,0
3.8,205,3591,200,17.5,0
4.6,275,3978,207.2,18.5,0
4.6,275,3300,201,18.5,0
4.6,275,3843,200.6,19,0
3,200,3770,194.8,18,0
5.7,255,5572,201.2,30,1
2.2,115,2676,180.9,14.3,0
3.1,170,3051,190.4,15,0
3.1,175,3330,200.9,16.6,0
3.4,180,3340,197.9,17,0
3.8,200,3500,193.2,16.8,0
5.7,345,3210,179.7,19.1,0
1.8,120,2398,174.3,13.2,0
1,55,1895,149.4,10.3,0
3.4,180,3389,200,17,0
2.5,163,2967,190.9,15.9,0
2.5,168,3332,193,16,0
2.7,200,3452,209.1,17,0
2,132,2911,186,16,0
3.5,253,3564,207.7,17,0
3.5,253,3567,197.8,17,0
2,132,2567,174.4,12.5,0
2.5,163,2879,190.2,15.9,0
2.5,168,3058,186,16,0
2.7,202,3489,203.7,17,0
8,450,3375,176.7,19,0
5.2,230,4470,224.2,26,1
3.9,175,4245,192.6,32,1
3.9,175,4298,208.5,32,1
2.5,120,3557,215,22,1
5.2,230,4394,193.5,25,1
2.4,150,3533,186.3,20,1
2,110,2468,174.7,12.7,0
3.8,190,3203,183.2,15.7,0
2.5,170,2769,184.6,15,0
3,155,3368,197.6,16,0
2,107,2564,174.8,13.2,0
4.6,200,3908,212,19,0
4,210,3876,190.7,21,1
3,150,3761,200.9,26,1
4.6,240,4808,204.6,26,1
2.5,119,3086,200.7,20,1
4.6,220,4241,224.5,25.1,1
1.6,106,2339,175.1,11.9,0
2.3,135,2932,188.8,17.1,0
2,146,3219,177.6,15.3,1
3.2,205,3857,178.2,21.1,1
3.5,210,4288,201.2,20,1
1.5,92,2240,166.7,11.9,0
2,140,2626,174,14.5,0
2.4,148,3072,185.4,17.2,0
3,227,3342,193.7,18.5,0
3,240,3650,191.3,18.4,0
2.5,120,3045,152,19,1
4,190,3194,167.5,20,1
4,195,3880,181.5,20.5,1
3,210,3373,190.2,18.5,0
3,225,3638,189.2,19.8,0
4,300,3693,189.2,19.8,0
4,290,3890,196.7,22.5,0
4.7,230,5401,192.5,25.4,1
3,220,3900,180.1,17.2,1
4.6,275,3868,208.5,20,0
4.6,215,4121,215.3,19,0
5.4,300,5393,204.8,30,1
1.8,113,2250,173.6,13.2,0
2.4,154,2910,175.4,15.9,0
2.4,145,2945,187.8,16.3,0
3.5,210,3443,194.1,19,0
3,161,3131,180.3,19.8,0
3.5,200,4520,186.6,24.3,1
3,173,3510,178.3,19.5,1
2,125,2769,184.8,15,0
2,125,2892,185,16,0
3,153,3379,199.7,16,0
4.6,200,3958,212,19,0
4,210,3876,190.1,21,1
3.3,170,3944,194.7,20,1
2.3,185,3250,177.4,16.4,0
3.2,221,3823,189.4,21.1,0
4.3,275,4133,203.1,23.2,0
5,302,4125,177.1,21.1,0
2.3,190,3055,157.9,15.9,0
2.3,185,2975,157.3,14,0
3.2,215,3213,180.3,16.4,0
5,302,4115,196.6,23.2,0
3.2,215,4387,180.6,19,1
1.8,126,2593,177.5,13.2,0
2.4,155,3012,183.5,15.9,0
3,222,3294,190.5,18.5,0
3.3,170,3991,194.8,20,1
3.3,170,3947,182.6,21,1
3.3,170,3821,178,19.4,1
3.3,170,3217,196.1,19.4,1
3.1,150,3102,192,15.2,0
3.5,215,3455,195.9,18,0
2.4,150,2958,186.7,15,0
4,250,3967,205.4,18.5,0
4.3,190,4068,181.2,17.5,1
3.4,185,3948,201.4,25,1
2,132,2559,174.4,12.5,0
2,132,2942,186.3,16,0
2.4,150,3528,186.3,20,1
3.5,253,2850,165.4,12,0
2.4,150,2906,181.9,15,0
3.4,175,3091,186.3,15.2,0
3.8,200,3492,193.4,16.8,0
3.8,195,3396,196.5,18,0
3.8,205,3590,202.5,17.5,0
3.4,185,3942,201.3,25,1
2.7,217,2778,171,17,0
3.4,300,3032,174.5,17,0
3.4,300,3075,174.5,17,0
2.3,170,3280,189.2,18.5,0
2,185,2990,182.2,16.9,0
1.9,100,2332,176.9,12.1,0
1.9,100,2367,180,12.1,0
1.9,124,2452,176.9,12.1,0
2.2,137,3075,190.4,13.1,0
2.2,137,2910,190.4,13.1,0
2.5,165,3415,185.8,16.9,0
2.5,165,3125,175.2,15.9,1
1.8,120,2420,174,13.2,0
2.2,133,2998,188.5,18.5,0
3,210,3417,191.9,18.5,0
1.8,140,2425,170.5,14.5,0
2.4,142,2580,178.7,15.1,1
3,194,3759,193.5,20.9,1
2,127,2668,163.8,15.3,1
2.7,150,3440,183.3,18.5,1
4.7,230,5115,192.5,25.4,1
2,115,2767,163.3,14.5,0
2,115,2853,172.3,14.5,0
1.8,150,3043,184.1,16.4,0
2,115,3079,160.4,13.7,0
2,115,2762,163.3,14.6,0
2,115,2769,161.1,14.5,0
1.9,160,2998,176.6,15.8,0
1.9,160,3042,176.6,15.8,0
2.4,168,3208,185.9,17.9,0
2.4,168,3259,186.2,17.9,0
2.3,236,3601,185.7,18.5,0
2.9,201,3600,189.8,21.1,0
